 searchterm,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
HASTAC2016,nolauren,5/11/2016 17:46,13,26,"If interested in learning how to program with humanities data, hope our http:// humanitiesdata.org book might help @hastac2016 #HASTAC16",,@hastac2016,#HASTAC16,7.30514E+17,https://twitter.com/nolauren/status/730514386561990656,
HASTAC2016,hastac2016,5/13/2016 12:07,4,5,"This morning's #HASTAC16 keynote, feat. @LizaPotts talking about #UX / #XA , starts soon! Watch the livestream here: http://www. ustream.tv/channel/ASU-Li ve ",,@LizaPotts,#HASTAC16 #UX #XA,7.31154E+17,https://twitter.com/hastac2016/status/731154001975070721,
HASTAC2016,JennyKorn,5/12/2016 15:14,3,7,#Grateful for @fiona_barnett @HASTAC @HASTACscholars @hastac2016 #thanksFionaB #HASTAC16 https://www. hastac.org/wiki/hastac-th anks-fiona-barnett-thanksfionab pic.twitter.com/dJ2ipdme4r,,@fiona_barnett @HASTAC @HASTACscholars @hastac2016,#Grateful #thanksFionaB #HASTAC16,7.30838E+17,https://twitter.com/JennyKorn/status/730838458143539201,
HASTAC2016,HASTACscholars,5/11/2016 16:46,3,5,Here's the link to the notes from the #hastac16 unconference: http:// bit.ly/Unconference-n otes @hastac2016,,@hastac2016,#hastac16,7.30499E+17,https://twitter.com/HASTACscholars/status/730499282113986560,
HASTAC2016,michael_simeone,5/13/2016 19:17,2,4,uploaded: #hastac2016 keynotes: @garydirks https:// vimeo.com/166441770 @LizaPotts https:// vimeo.com/166568703,,@garydirks @LizaPotts,#hastac2016,7.31262E+17,https://twitter.com/michael_simeone/status/731262169535254528,
HASTAC2016,lindencat,5/13/2016 18:17,2,1,Fantastic session on visbiodesign +ppl from Russia and Singapore.amazing undergrad Pat pataranutaporn #hastac2016 pic.twitter.com/gCLrrGURqm,,,#hastac2016,7.31247E+17,https://twitter.com/lindencat/status/731246996036542464,
HASTAC2016,nolauren,5/11/2016 21:34,2,5,#thanksFionaB #hastac16 @hastac2016 pic.twitter.com/6CKtOkz5M0,,@hastac2016,#thanksFionaB #hastac16,7.30572E+17,https://twitter.com/nolauren/status/730571905766326272,
HASTAC2016,hastac2016,5/11/2016 21:15,2,2,Academic discount programs offered by @GitHubEducation will be highlighted throughout the week at #HASTAC16 . Check 'em out!,,@GitHubEducation,#HASTAC16,7.30567E+17,https://twitter.com/hastac2016/status/730567152357412865,
HASTAC2016,j_winterton,5/11/2016 13:18,2,4,Excited to have the @hastac2016 group on campus this week! So many fascinating topics to explore. https:// twitter.com/profwernimont/ status/730182304916602880 ,,@hastac2016,,7.30447E+17,https://twitter.com/j_winterton/status/730447106159185921,
HASTAC2016,DawnOpel,5/11/2016 12:59,2,2,Setting up for #hastac2016 with @hastac2016 fangirl @JessWoch pic.twitter.com/We0IY11Mvz,,@hastac2016 @JessWoch,#hastac2016,7.30442E+17,https://twitter.com/DawnOpel/status/730442170792968192,
