 searchterm,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
attorney general,aterkel,5/9/2016 18:25,42,27,Pat McCrory didn't tell the state's attorney general he was suing the fed govt over NC's bathroom law http://www. huffingtonpost.com/entry/north-ca rolina-attorney-general_us_5730f9e4e4b016f37896b989?fbkbf18c3ggiq3q5mi @dliebelson,,@dliebelson,,7.30E+17,https://twitter.com/aterkel/status/729799428438163456
attorney general,bennydiego,5/9/2016 19:21,66,111,Attorney General Loretta Lynch who defends the civil rights of all Americans. Truly Amazing. What a relief to see such strength. #RepealHB2,,,#RepealHB2,7.30E+17,https://twitter.com/bennydiego/status/729813571077431296
attorney general,GrierMartin,5/9/2016 18:38,78,146,"If you think #HB2 represents the real NC, let me instead point you to US Attorney General Loretta Lynch, a native of our great state. #ncpol","Raleigh, NC",,#HB2 #ncpol,7.30E+17,https://twitter.com/GrierMartin/status/729802729158262784
attorney general,benshapiro,5/9/2016 18:03,199,180,Attorney General : Women Who Don't Want Men In Their Bathrooms Are Jim Crow Bigots http:// pllqt.it/upijyt pic.twitter.com/MI1jB2o4N7,,,,7.30E+17,https://twitter.com/benshapiro/status/729793916585807873
attorney general,dylanmarron,5/9/2016 18:00,82,226,"Attorney General Loretta Lynch's message to trans folk: we see you, we stand with you, and we will protect you"" pic.twitter.com/iy2TACkXMo""",,,,7.30E+17,https://twitter.com/dylanmarron/status/729793181320151044
attorney general,Lavernecox,5/9/2016 17:44,151,395,Thank you Attorney General @LorettaLynch . Thank you so much! https:// twitter.com/thehill/status /729778731598876672 ,,@LorettaLynch,,7.30E+17,https://twitter.com/Lavernecox/status/729789122420850691
attorney general,NerdyWonka,5/9/2016 17:41,124,147,"Who you put in power, matters. Bravo, President Obama and Attorney General Loretta Lynch! http:// time.com/4323672/bathro om-bill-north-carolina-justice-department-loretta-lynch-remarks/ pic.twitter.com/dHFseI4pcp",,,,7.30E+17,https://twitter.com/NerdyWonka/status/729788374924414976
attorney general,TIME,5/9/2016 17:40,313,387,"Read the Attorney General 's remarks condemning North Carolina's bathroom bill"" http:// ti.me/1q9Q47S""",,,,7.30E+17,https://twitter.com/TIME/status/729788046355353600
attorney general,AmyDentata,5/9/2016 17:05,489,754,Attorney General Loretta Lynch's message to transgender Americans. Daaaaaaaaamn they went all-in pic.twitter.com/dpZbOk3MNp,,,,7.30E+17,https://twitter.com/AmyDentata/status/729779365320364032
attorney general,NerdyWonka,5/9/2016 16:41,300,357,"BAWSE! Bravo, Attorney General Loretta Lynch! pic.twitter.com/2KsuWAvaQL",,,,7.30E+17,https://twitter.com/NerdyWonka/status/729773227988406272
attorney general,CNN,5/9/2016 16:30,408,459,"Attorney general : Justice Dept. sues NC over bathroom law's state-sponsored discrimination"" http:// cnn.it/1TymCQO pic.twitter.com/sX99IHjvim""",,,,7.30E+17,https://twitter.com/CNN/status/729770431746592768
attorney general,srhbutts,5/9/2016 16:28,150,136,"here's US attorney general announcing significant law enforcement action"" against north carolina's #HB2 bill http://www. c-span.org/video/?409316- 1/attorney-general-loretta-lynch-respond-north-carolinas-hb-2-lawsuit&vod """,,,#HB2,7.30E+17,https://twitter.com/srhbutts/status/729770130285068289
attorney general,hale_razor,5/9/2016 16:20,169,144,"We're at the point where the Attorney General of the U.S. defines as Jim Crow"" any law barring men from urinating next to women.""",,,,7.30E+17,https://twitter.com/hale_razor/status/729768056319152128
attorney general,ABCPolitics,5/9/2016 16:17,50,36,"'We stand with you, Attorney General Lynch tells the transgender community. ""History is on your side."" http:// snpy.tv/278CDH8""",,,,7.30E+17,https://twitter.com/ABCPolitics/status/729767293446561792
attorney general,ABC,5/9/2016 16:10,1252,1424,"AG Lynch to transgender community. We see you, we stand with you, and we will do everything we can to protect you."" http:// snpy.tv/1SZu0Zo""",,,,7.30E+17,https://twitter.com/ABC/status/729765544665055232
attorney general,paigepoole00,5/9/2016 16:07,164,153,Attorney General should be focussing on Hilliary Clinton's indictment...not bathrooms in NC pic.twitter.com/TFsUzCiO33,,,,7.30E+17,https://twitter.com/paigepoole00/status/729764824234659840
attorney general,fakedansavage,5/9/2016 16:06,113,311,"US Attorney General talking about where trans people get to pee live on all cable news networks. Congrats, NC! pic.twitter.com/gov6Z2mpVL",,,,7.30E+17,https://twitter.com/fakedansavage/status/729764616067264513
attorney general,ABCPolitics,5/9/2016 16:05,81,83,LIVE: Attorney General Loretta Lynch explains DOJ lawsuit against North Carolina http:// snpy.tv/1XhFj0M,,,,7.30E+17,https://twitter.com/ABCPolitics/status/729764330170802177
attorney general,ABC,5/9/2016 16:05,127,109,"AG Lynch on NC's 'bathroom law': They created state sponsored discrimination against transgender individuals."" http:// snpy.tv/1q9Ic6v""",,,,7.30E+17,https://twitter.com/ABC/status/729764203876122624
attorney general,ABC,5/9/2016 12:06,359,238,NEW: DOJ: Attorney General Loretta Lynch to announce law enforcement action related to North Carolina today at 3:30 PM ET press conference.,,,,7.30E+17,https://twitter.com/ABC/status/729704020273733633
attorney general,SteveDeaceShow,5/7/2016 11:29,164,299,"Furthermore, why would Cruz want to serve as attorney general for a president who is a pathological liar?""""",,,,7.29E+17,https://twitter.com/SteveDeaceShow/status/728969900002152448
attorney general,Swamy39,5/5/2016 22:00,432,629,"Why this aggression, be more polite, Justice Khehar asks attorney general Mukul Rohatgi http://www. legallyindia.com/scoi-reports/w hy-this-aggression-be-more-polite-justice-khehar-asks-attorney-general-mukul-rohatgi ",,,,7.28E+17,https://twitter.com/Swamy39/status/728404000412938241
attorney general,Earthjustice,5/5/2016 11:00,33,19,DID YOU KNOW: 21 governors still deny the science behind climate change? #ActOnClimate http:// cap.af/1UyAM9p @CAPAction,,@CAPAction,#ActOnClimate,7.28E+17,https://twitter.com/Earthjustice/status/728237916095275009
attorney general,thinkprogress,5/5/2016 8:10,112,76,Is your governor or attorney general a climate denier? This map will tell you. http:// thkpr.gs/3774746 pic.twitter.com/q8zeEaiyOH,,,,7.28E+17,https://twitter.com/thinkprogress/status/728195052732698624
attorney general,BreitbartNews,5/5/2016 8:00,112,32,Attorney General Targets Conservative Groups over Climate Change Research http:// trib.al/626H98j,,,,7.28E+17,https://twitter.com/BreitbartNews/status/728192721136041985
attorney general,smh,5/5/2016 7:15,6,6,NSW Police to ask Attorney-General to send Bowraville cases back to court. http:// ow.ly/4nrKWg,,,,7.28E+17,https://twitter.com/smh/status/728181238050238465
attorney general,9NewsAUS,5/4/2016 18:36,5,4,Attorney-General George Brandis tells #9News death of Neil Prakash is disruption to possible terror attacks. #9News http:// snpy.tv/1UA30Rc,,,#9News #9News,7.28E+17,https://twitter.com/9NewsAUS/status/727990266527813633
attorney general,RaleighReporter,5/4/2016 17:13,23,16,Just saw Sen./ attorney general candidate/ #HB2 sponsor Buck Newton. He declined to talk to me about the Department of Justice order. #ncpol,,,#HB2 #ncpol,7.28E+17,https://twitter.com/RaleighReporter/status/727969327044022272
attorney general,FoxNews,5/4/2016 15:55,240,454,TX attorney general wants to know how @Target plans to protect women & children. http:// fxn.ws/1Y8ANzQ pic.twitter.com/dLI2Yqp1Ak,,@Target,,7.28E+17,https://twitter.com/FoxNews/status/727949786276450304
