sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
gavin grimm;gwenners;2016-05-09 12:05;0;2;"I'm wondering if @PatMcCroryNC has ever heard of Gavin Grimm v. Gloucester County School Board. You'd think he would have.";;@PatMcCroryNC;;"729703745634729985";https://twitter.com/gwenners/status/729703745634729985
gavin grimm;kojoshow;2016-05-05 09:15;2;0;""All I'm doing is fighting to go back to normal," 17-year-old trans teen Gavin Grimm . Read his Q/A w/ @AveryJCK : http:// bit.ly/1NXbEru";;@AveryJCK;;"728211419963887617";https://twitter.com/kojoshow/status/728211419963887617
gavin grimm;gwenners;2016-05-04 12:27;1;3;"VA School Board appealing Gavin Grimm case. Future SCOTUS #trans case? http:// vbly.us/2nnc";;;#trans;"727897348181893121";https://twitter.com/gwenners/status/727897348181893121
gavin grimm;TheBpDShow;2016-05-04 11:01;5;5;"Could Gavin Grimm 's Case against Virginia School over Bathroom Use Make it to Supreme Court?: http:// youtu.be/074jCQdpMuM?a via @YouTube";;@YouTube;;"727875921303195648";https://twitter.com/TheBpDShow/status/727875921303195648
gavin grimm;WAVY_News;2016-05-03 17:14;0;0;"School board files petition for rehearing in Gavin Grimm case http:// wp.me/p4ySsV-1gQV";;;;"727607303352946688";https://twitter.com/WAVY_News/status/727607303352946688
gavin grimm;TheAdvocateMag;2016-05-03 15:25;11;15;""Why Gavin Grimm 's Case Will Reverberate for All #Trans Students" http:// bit.ly/1SKhz3j pic.twitter.com/ArclxLwVhD";;;#Trans;"727579733483868160";https://twitter.com/TheAdvocateMag/status/727579733483868160
gavin grimm;goodwinlaw;2016-05-03 14:30;0;0;"Mary Dulka and Christine Dieter discuss impact of Gavin Grimm case on trans students in @TheAdvocateMag http:// ow.ly/4nnsjh";;@TheAdvocateMag;;"727565999386546178";https://twitter.com/goodwinlaw/status/727565999386546178
gavin grimm;KMHobbie;2016-05-03 11:44;0;0;"Why Gavin Grimm 's Case Will Reverberate for All Trans Students http://www. advocate.com/commentary/201 6/5/03/why-gavin-grimms-case-will-reverberate-all-trans-students | Article by GLAD and my firm partner+ associate";;;;"727524358923636736";https://twitter.com/KMHobbie/status/727524358923636736
gavin grimm;PrideHunters;2016-05-03 05:30;0;0;"Why Gavin Grimm 's Case Will Reverberate for All Trans Students: In its ruling on a transgender boy's right to... http:// bit.ly/24lIMka";;;;"727430184639434752";https://twitter.com/PrideHunters/status/727430184639434752
gavin grimm;durhamdailynews;2016-05-02 19:07;0;0;"Transgender Bathroom Lawsuit: FILE This Tuesday Aug. 25, 2015 file photo shows Gavin Grimm on his front porch http:// m.tbnn.it/LCcLPr";;;;"727273261873041408";https://twitter.com/durhamdailynews/status/727273261873041408
