sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HB2; gupta;kerrywyler;2016-05-09 19:20;0;2;". @Rayterrill It was a magnificent speech. I have already watched it three times. Vanita Gupta 's speech was good too. #WeAreNotThis #HB2";;@Rayterrill;#WeAreNotThis #HB2;"729813293284593664";https://twitter.com/kerrywyler/status/729813293284593664
HB2; gupta;W_illiford;2016-05-09 16:54;0;2;"Full remarks from Lynch, Gupta : http:// buff.ly/1T719nU #HB2 #WeAreNotThis";;;#HB2 #WeAreNotThis;"729776645574299648";https://twitter.com/W_illiford/status/729776645574299648
HB2; gupta;WeNeedHillary;2016-05-09 16:54;66;85;"Rmrks by US Attny General Loretta Lynch, Civil Rights Div Leader Vanita Gupta on HB2 Lawsuit http:// bit.ly/1QWKxHE pic.twitter.com/s7pxz71foF";;;;"729776549642293250";https://twitter.com/WeNeedHillary/status/729776549642293250
HB2; gupta;indyweek;2016-05-09 16:47;51;47;"Read Remarks by U.S. Attorney General Loretta Lynch, Civil Rights Division Leader Vanita Gupta on #HB2 Lawsuit http:// buff.ly/1T719nU";;;#HB2;"729774752643043329";https://twitter.com/indyweek/status/729774752643043329
HB2; gupta;meganspecia;2016-05-09 16:38;14;11;""You can be who you are, and you deserve to live with dignity." More powerful words from Vanita Gupta on #HB2 suit pic.twitter.com/a6UdzKWhuK";;;#HB2;"729772480227905538";https://twitter.com/meganspecia/status/729772480227905538
HB2; gupta;lgbtmap;2016-05-09 16:31;7;11;"Assistant Attorney General for the Civil Rights Division Vanita Gupta on NC's HB2 : "Transgender men are men. Transgender women are women."";;;;"729770856495362048";https://twitter.com/lgbtmap/status/729770856495362048
HB2; gupta;NAACP_LDF;2016-05-09 16:15;52;44;""Calling #HB2 'the bathroom bill' trivializes what it is about. It translates into discrimination in the real world" - Vanita Gupta";;;#HB2;"729766884976017408";https://twitter.com/NAACP_LDF/status/729766884976017408
HB2; gupta;acurliss;2016-05-09 16:15;1;3;"DOMECAST Headliner of the Week, Vanita Gupta , on fed suit: " #HB2 violates the law" #ncpol http:// to.pbs.org/1T7zobC pic.twitter.com/1FBo1mC44z";;;#HB2 #ncpol;"729766692071612416";https://twitter.com/acurliss/status/729766692071612416
HB2; gupta;CBSNLive;2016-05-09 16:14;18;17;"Acting assistant AG: "Calling HB2 a 'bathroom bill' trivializes what it's actually about." http:// cbsn.ws/21vPMY2 http:// snpy.tv/278Ca7U";;;;"729766530385223680";https://twitter.com/CBSNLive/status/729766530385223680
HB2; gupta;greg_doucette;2016-05-09 16:14;3;2;"DepAG Gupta : #HB2 not only violates the law, but violates our values as a people";Durham, NC;;#HB2;"729766475427401728";https://twitter.com/greg_doucette/status/729766475427401728
HB2; gupta;TWCNewsRDU;2016-05-09 16:14;4;2;"Assistant Attorney General Vanita Gupta : " #HB2 violates the values that define us as people."";;;#HB2;"729766427725422592";https://twitter.com/TWCNewsRDU/status/729766427725422592
HB2; gupta;iChrisLehman;2016-05-09 16:13;0;5;"US Dept AG Gupta : "here are the facts: Transgender men are men. Transgender women are women. They live their lives as such." #HB2 #DOJ";;;#HB2 #DOJ;"729766250017132545";https://twitter.com/iChrisLehman/status/729766250017132545
HB2; gupta;thetomzone;2016-05-09 16:13;4;2;"DOJ Civil Rights Division head Vanita Gupta urges media, others to stop using phrase "bathroom bill," says it "trivializes" HB2 impact";Manhattan, NY;;;"729766147726303233";https://twitter.com/thetomzone/status/729766147726303233
HB2; gupta;Rob_Schofield;2016-05-09 16:12;15;18;"The next time someone tells you elections don't matter, show them the inspiring words of Loretta Lynch and Vanita Gupta #hb2 #ncga #ncpol";;;#hb2 #ncga #ncpol;"729766113861611521";https://twitter.com/Rob_Schofield/status/729766113861611521
HB2; gupta;reportedly;2016-05-09 16:12;5;5;"Calling #HB2 the "Bathroom Bill" trivializes scope of discrimination by the bill says Vanita Gupta @CivilRightsAAG pic.twitter.com/P5CcBVcU7P";;@CivilRightsAAG;#HB2;"729766021058297856";https://twitter.com/reportedly/status/729766021058297856
HB2; gupta;ACLU_NC;2016-05-09 16:12;4;1;"#HB2 translates into discrimination in the real world - Head of Civil Rights Division of DOJ Vanita Gupta";;;#HB2;"729765995859062784";https://twitter.com/ACLU_NC/status/729765995859062784
