 searchterm,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
HB2,ACLU,5/4/2016 15:55,793,575,BREAKING: US Justice Department: HB2 violates federal Civil Rights Act http://www. charlotteobserver.com/news/politics- government/article75601912.html ,,,,7.2795E+17,https://twitter.com/ACLU/status/727949826818752513
HB2,Bey_Legion,5/4/2016 15:03,512,901,Beyonc wearing 'Y'all Means All' shirt in support of @equalitync . #HB2 #Equality pic.twitter.com/hzxoyXFh0J,,@equalitync,#HB2 #Equality,7.27937E+17,https://twitter.com/Bey_Legion/status/727936782340370437
HB2,chrisgeidner,5/9/2016 15:44,481,309,BREAKING: U.S. DOJ files federal lawsuit against North Carolina over #HB2 . https:// assets.documentcloud.org/documents/2827 915/NC-DOJComplaint.pdf pic.twitter.com/B2urJQQDtD,,,#HB2,7.29759E+17,https://twitter.com/chrisgeidner/status/729758992495476736
HB2,TheBaxterBean,5/9/2016 18:16,468,323,REMINDER: Longest-running Republican Speaker molested 4 times as many children as any LGBT bathroom attendee. #HB2 pic.twitter.com/ju8g6RB22Q,,,#HB2,7.29797E+17,https://twitter.com/TheBaxterBean/status/729797252793962498
HB2,ABC,5/9/2016 15:47,449,357,"JUST IN: DOJ files federal lawsuit against North Carolina, saying part of the controversial HB2 law violates the Civil Rights Act of 1964.",,,,7.2976E+17,https://twitter.com/ABC/status/729759712128946176
HB2,deray,5/9/2016 16:39,435,663,Loretta Lynch to North Carolina Gov. @PatMcCroryNC re: #HB2 pic.twitter.com/oYHm01Tz5g,"Baltimore, MD",@PatMcCroryNC,#HB2,7.29773E+17,https://twitter.com/deray/status/729772682544304130
HB2,cnnbrk,5/9/2016 10:33,335,413,North Carolina sues Justice Dept. to defend states law regulating use of public bathrooms. http:// cnn.it/277BgIO,,,,7.29681E+17,https://twitter.com/cnnbrk/status/729680817031614465
HB2,BreakingNews,5/4/2016 16:04,308,235,US Justice Department: North Carolina's HB2 violates federal Civil Rights Act - Charlotte Observer http:// bit.ly/1q0Zjaz,,,,7.27952E+17,https://twitter.com/BreakingNews/status/727952107421192192
HB2,cspan,5/9/2016 16:20,306,303,"AG @LorettaLynch : This is about the dignity and the respect that we accord our fellow citizens..."" #HB2 https:// amp.twimg.com/v/50cbd7ee-a80 c-4c4a-a94a-a6f410097f93 """,,@LorettaLynch,#HB2,7.29768E+17,https://twitter.com/cspan/status/729768082797789184
HB2,BettyBowers,5/9/2016 8:46,303,452,Dear @PatMcCroryNC amend #HB2 to protect our precious children from anyone who worked at Family Research Council! pic.twitter.com/GnAS4GkUcs,,@PatMcCroryNC,#HB2,7.29654E+17,https://twitter.com/BettyBowers/status/729653754249814016
HB2,PolitiFactNC,5/9/2016 19:23,269,184,Pat McCrory just said on @greta that #HB2 didn't take away any existing rights. We previously found that to be false http://www. politifact.com/north-carolina /statements/2016/mar/30/pat-mccrory/pat-mccrory-wrong-when-he-says-north-carolinas-new/ ,,@greta,#HB2,7.29814E+17,https://twitter.com/PolitiFactNC/status/729814150390665219
HB2,gwenners,5/9/2016 17:28,219,244,Here's the full @LorettaLynch statement. It's worth watching in full. #HB2 #trans http:// vbly.us/2nop,,@LorettaLynch,#HB2 #trans,7.29785E+17,https://twitter.com/gwenners/status/729785179057717248
HB2,CBSEveningNews,5/4/2016 16:16,215,217,"NEW: DOJ confirms it sent letter to North Carolina, saying #HB2 violates federal civil rights laws. - @PaulaReidCBS",,@PaulaReidCBS,#HB2,7.27955E+17,https://twitter.com/CBSEveningNews/status/727955062341959680
HB2,arieltypes,5/4/2016 15:54,208,206,BREAKING: The U.S. Justice Department declares that North Carolina's anti-LGBT HB2 violates federal Civil Rights Act http://www. charlotteobserver.com/news/politics- government/article75601912.html ,,,,7.27949E+17,https://twitter.com/arieltypes/status/727949481904246784
HB2,MyDaughtersArmy,5/4/2016 16:26,198,262,The US Department of Justice gives North Carolina until May 9 to repeal HB2 https:// twitter.com/aclu/status/72 7949826818752513 ,,,,7.27958E+17,https://twitter.com/MyDaughtersArmy/status/727957547504775168
HB2,deray,5/9/2016 16:16,196,263,Loretta Lynch has made it clear that they may curtail federal funding to North Carolina due to HB2 .,,,,7.29767E+17,https://twitter.com/deray/status/729767021152325632
HB2,JeffJacksonNC,5/4/2016 16:02,191,191,BREAKING: U.S. DOJ says HB2 violates fed law and gives Gov. McCrory until Monday to indicate whether he will comply. http://www. charlotteobserver.com/news/politics- government/article75601912.html ,,,,7.27952E+17,https://twitter.com/JeffJacksonNC/status/727951644651040768
HB2,SenatorBaldwin,5/4/2016 16:35,164,200,Big news: @TheJusticeDept says #HB2 violates the federal Civil Rights Act. #NoHateInMyState http://www. charlotteobserver.com/news/politics- government/article75601912.html ,,@TheJusticeDept,#HB2 #NoHateInMyState,7.2796E+17,https://twitter.com/SenatorBaldwin/status/727959941105987584
HB2,BenJealous,5/9/2016 12:19,160,328,". @patmccrorync no one recalls Gov. Wallace eventually regretted his bigotry. HB2 will not just stain your legacy, it will be your legacy.",,@patmccrorync,,7.29707E+17,https://twitter.com/BenJealous/status/729707381958053888
