sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HB2;newsobserver;2016-05-05 12:08;30;11;"House Speaker: NC wont meet Obama administrations Monday deadline on #HB2 #ncpol http:// bit.ly/1rtl5oh pic.twitter.com/1zYMsFfUBI";;;#HB2 #ncpol;"728255043745501184";https://twitter.com/newsobserver/status/728255043745501184
HB2;CecilBrockman;2016-05-05 11:52;122;115;"#HB2 became law in less than 12 hours. 5 days should be more than enough time to decide how to clean up after it. https:// twitter.com/RaleighReporte r/status/728247615154847744 ";;;#HB2;"728251140022931457";https://twitter.com/CecilBrockman/status/728251140022931457
HB2;OfficialBPeters;2016-05-05 09:34;69;372;"Was cancelling my concert in NC but decided to speak against HB2 bill and support the Arts which is where the LGBT community is supported";;;;"728216272278851585";https://twitter.com/OfficialBPeters/status/728216272278851585
HB2;MikeGalanosHLN;2016-05-05 08:57;7;9;"DOJ says NC's #HB2 (the so-called #BathroomBill ) violates U.S. Civil Rights Act. Gives state till Monday to respond: http:// on.hln.tv/6010BWw4Q";;;#HB2 #BathroomBill;"728206989466206208";https://twitter.com/MikeGalanosHLN/status/728206989466206208
HB2;HRC;2016-05-04 23:00;135;204;"Today, the DOJ ruled North Carolina's HB2 violates the Civil Rights Act. @HRC is on the ground fighting to #RepealHB2 https://www. youtube.com/watch?v=JAHXsw M78GQ ";;@HRC;#RepealHB2;"728056737706582017";https://twitter.com/HRC/status/728056737706582017
HB2;HRC;2016-05-04 21:23;132;184;"ICYMI: U.S. Justice Dept Says HB2 Violates Civil Rights Act, Gives @PatMcCroryNC Monday Deadline #RepealHB2 http://www. hrc.org/blog/breaking- u.s.-justice-department-says-hb2-violates-federal-law-gives-gov.-m ";;@PatMcCroryNC;#RepealHB2;"728032356699938816";https://twitter.com/HRC/status/728032356699938816
HB2;ABC;2016-05-04 17:35;101;116;"DOJ official says North Carolina's HB2 'bathroom law' violates civil rights. http:// abcn.ws/1SNrYLy pic.twitter.com/cAD5rdxD3h";;;;"727975022606884864";https://twitter.com/ABC/status/727975022606884864
HB2;DeeTwoCents;2016-05-04 16:55;75;81;"BREAKING: Justice Dept says NC's #HB2 violates Civil Rights Act! http://www. charlotteobserver.com/news/politics- government/article75601912.html ";;;#HB2;"727964906079784960";https://twitter.com/DeeTwoCents/status/727964906079784960
HB2;ChadHGriffin;2016-05-04 16:41;146;234;"HUGE: Justice Department declares @PatMcCroryNC 's #HB2 violates the federal Civil Rights Act. http://www. charlotteobserver.com/news/politics- government/article75601912.html ";;@PatMcCroryNC;#HB2;"727961326551744512";https://twitter.com/ChadHGriffin/status/727961326551744512
HB2;mountain_goats;2016-05-04 16:36;136;192;"Feds: HB2 in violation of Title IX and you have til Monday to renounce it, @PatMcCroryNC . lol, lol @you forever http://www. charlotteobserver.com/news/politics- government/article75601912.html ";;@PatMcCroryNC @you;;"727960230064173057";https://twitter.com/mountain_goats/status/727960230064173057
HB2;SenatorBaldwin;2016-05-04 16:35;164;200;"Big news: @TheJusticeDept says #HB2 violates the federal Civil Rights Act. #NoHateInMyState http://www. charlotteobserver.com/news/politics- government/article75601912.html ";;@TheJusticeDept;#HB2 #NoHateInMyState;"727959941105987584";https://twitter.com/SenatorBaldwin/status/727959941105987584
HB2;RaleighReporter;2016-05-04 16:35;49;88;"Senate Minority Leader Dan Blue reacts to Department of Justice #HB2 order More: http://www. newsobserver.com/news/politics- government/state-politics/article75607477.html #ncpol pic.twitter.com/uw2UhNRlnl";;;#HB2 #ncpol;"727959930641207296";https://twitter.com/RaleighReporter/status/727959930641207296
HB2;NCLRights;2016-05-04 16:27;54;53;"BREAKING: @TheJusticeDept tells North Carolina that #HB2 violates U.S. Civil Rights Act http://www. charlotteobserver.com/news/politics- government/article75601912.html ";;@TheJusticeDept;#HB2;"727957798953324544";https://twitter.com/NCLRights/status/727957798953324544
HB2;MyDaughtersArmy;2016-05-04 16:26;198;262;"The US Department of Justice gives North Carolina until May 9 to repeal HB2 https:// twitter.com/aclu/status/72 7949826818752513 ";;;;"727957547504775168";https://twitter.com/MyDaughtersArmy/status/727957547504775168
HB2;musicnews_shade;2016-05-04 16:24;3565;5723;"Beyonc wearing a "Y'all Means All" North Carolina shirt to protest the transphobic #HB2 bill. @equalitync pic.twitter.com/4zgIy1hX7a";;@equalitync;#HB2;"727957078342389760";https://twitter.com/musicnews_shade/status/727957078342389760
HB2;equalitync;2016-05-04 16:18;174;278;"When life gives you #HB2 , make #lemonade . @Beyonce rocking y'all means all shirt. Get yours http:// bit.ly/1X94x17 pic.twitter.com/a1Up3RDOYr";;@Beyonce;#HB2 #lemonade;"727955603411308545";https://twitter.com/equalitync/status/727955603411308545
HB2;CBSEveningNews;2016-05-04 16:16;215;217;"NEW: DOJ confirms it sent letter to North Carolina, saying #HB2 violates federal civil rights laws. - @PaulaReidCBS";;@PaulaReidCBS;#HB2;"727955062341959680";https://twitter.com/CBSEveningNews/status/727955062341959680
HB2;BreakingNews;2016-05-04 16:04;308;235;"US Justice Department: North Carolina's HB2 violates federal Civil Rights Act - Charlotte Observer http:// bit.ly/1q0Zjaz";;;;"727952107421192192";https://twitter.com/BreakingNews/status/727952107421192192
