sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hb2;PolitiFactNC;2016-05-09 19:23;268;183;"Pat McCrory just said on @greta that #HB2 didn't take away any existing rights. We previously found that to be false http://www. politifact.com/north-carolina /statements/2016/mar/30/pat-mccrory/pat-mccrory-wrong-when-he-says-north-carolinas-new/ ";;@greta;#HB2;"729814150390665219";https://twitter.com/PolitiFactNC/status/729814150390665219
hb2;MyDaughtersArmy;2016-05-09 18:59;102;311;"I see North Carolina's HB2 law has brought out the 'Christians in the streets, bigots in the tweets' brigade on Twitter. Again.";;;;"729807984042315776";https://twitter.com/MyDaughtersArmy/status/729807984042315776
hb2;TheBaxterBean;2016-05-09 18:16;465;323;"REMINDER: Longest-running Republican Speaker molested 4 times as many children as any LGBT bathroom attendee. #HB2 pic.twitter.com/ju8g6RB22Q";;;#HB2;"729797252793962498";https://twitter.com/TheBaxterBean/status/729797252793962498
hb2;gwenners;2016-05-09 17:28;219;243;"Here's the full @LorettaLynch statement. It's worth watching in full. #HB2 #trans http:// vbly.us/2nop";;@LorettaLynch;#HB2 #trans;"729785179057717248";https://twitter.com/gwenners/status/729785179057717248
hb2;DWStweets;2016-05-09 17:01;78;148;"Beautiful - @LorettaLynch to the trans community: "We see you, we stand with you, and we will do everything we can to protect you." #HB2";;@LorettaLynch;#HB2;"729778283500478464";https://twitter.com/DWStweets/status/729778283500478464
hb2;lgbt_dems;2016-05-09 16:55;139;211;"The Obama Administration is filing a civil rights suit against North Carolina. #HB2 #WeAreNotThis pic.twitter.com/aLkVtbukEh";;;#HB2 #WeAreNotThis;"729776857596473344";https://twitter.com/lgbt_dems/status/729776857596473344
hb2;ACLU_NC;2016-05-09 16:53;42;45;". @ACLU and @LambdaLegal Applaud DOJ Lawsuit Against North Carolina on #HB2 https:// acluofnorthcarolina.org/blog/aclu-and- lambda-legal-applaud-doj-lawsuit-against-north-carolina-on-hb-2.html #WeAreNotThis pic.twitter.com/EeQOZ47DI9";;@ACLU @LambdaLegal;#HB2 #WeAreNotThis;"729776250781372416";https://twitter.com/ACLU_NC/status/729776250781372416
hb2;deray;2016-05-09 16:39;433;658;"Loretta Lynch to North Carolina Gov. @PatMcCroryNC re: #HB2 pic.twitter.com/oYHm01Tz5g";Baltimore, MD;@PatMcCroryNC;#HB2;"729772682544304130";https://twitter.com/deray/status/729772682544304130
hb2;micnews;2016-05-09 16:32;141;176;"Basically @LorettaLynch through that entire statement on #HB2 pic.twitter.com/MpOBcLh2IO";;@LorettaLynch;#HB2;"729771006831808514";https://twitter.com/micnews/status/729771006831808514
hb2;srhbutts;2016-05-09 16:28;150;137;"here's US attorney general announcing "significant law enforcement action" against north carolina's #HB2 bill http://www. c-span.org/video/?409316- 1/attorney-general-loretta-lynch-respond-north-carolinas-hb-2-lawsuit&vod ";;;#HB2;"729770130285068289";https://twitter.com/srhbutts/status/729770130285068289
hb2;cspan;2016-05-09 16:20;300;295;"AG @LorettaLynch : "This is about the dignity and the respect that we accord our fellow citizens..." #HB2 https:// amp.twimg.com/v/50cbd7ee-a80 c-4c4a-a94a-a6f410097f93 ";;@LorettaLynch;#HB2;"729768082797789184";https://twitter.com/cspan/status/729768082797789184
hb2;deray;2016-05-09 16:16;196;262;"Loretta Lynch has made it clear that they may curtail federal funding to North Carolina due to HB2 .";;;;"729767021152325632";https://twitter.com/deray/status/729767021152325632
hb2;CBSNLive;2016-05-09 16:14;18;17;"Acting assistant AG: "Calling HB2 a 'bathroom bill' trivializes what it's actually about." http:// cbsn.ws/21vPMY2 http:// snpy.tv/278Ca7U";;;;"729766530385223680";https://twitter.com/CBSNLive/status/729766530385223680
hb2;ABC;2016-05-09 15:47;447;356;"JUST IN: DOJ files federal lawsuit against North Carolina, saying part of the controversial HB2 law violates the Civil Rights Act of 1964.";;;;"729759712128946176";https://twitter.com/ABC/status/729759712128946176
hb2;chrisgeidner;2016-05-09 15:44;480;308;"BREAKING: U.S. DOJ files federal lawsuit against North Carolina over #HB2 . https:// assets.documentcloud.org/documents/2827 915/NC-DOJComplaint.pdf pic.twitter.com/B2urJQQDtD";;;#HB2;"729758992495476736";https://twitter.com/chrisgeidner/status/729758992495476736
hb2;CNNPolitics;2016-05-09 14:18;48;54;"Gov. Pat McCrory speaks out on North Carolina suing the Justice Dept. in defense of HB2 http:// cnn.it/23BHBYa http:// cnn.it/1rLD2Pa";;;;"729737207771107328";https://twitter.com/CNNPolitics/status/729737207771107328
hb2;ChadHGriffin;2016-05-09 13:12;86;127;". @PatMcCroryNC still lying about #HB2 and displaying just how little he understands our nation's civil rights laws.";;@PatMcCroryNC;#HB2;"729720786668367872";https://twitter.com/ChadHGriffin/status/729720786668367872
hb2;HRC;2016-05-09 13:11;132;168;". @PatMcCroryNC You passed #HB2 in less than 10 hours. Three days is more than enough to respond to @TheJusticeDept #RepealHB2";;@PatMcCroryNC @TheJusticeDept;#HB2 #RepealHB2;"729720349907136512";https://twitter.com/HRC/status/729720349907136512
