sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HB2; lynch;GrierMartin;2016-05-09 18:38;77;144;"If you think #HB2 represents the real NC, let me instead point you to US Attorney General Loretta Lynch , a native of our great state. #ncpol";Raleigh, NC;;#HB2 #ncpol;"729802729158262784";https://twitter.com/GrierMartin/status/729802729158262784
HB2; lynch;ronnieglassberg;2016-05-09 12:45;30;9;"Attorney General Lynch has 3:30 pm news conference to announce DOJ's own law enforcement action against NC. #HB2 http://www. charlotteobserver.com/news/politics- government/article76502777.html ";;;#HB2;"729713929396563969";https://twitter.com/ronnieglassberg/status/729713929396563969
HB2; lynch;dejbanlaw;2016-05-09 18:33;52;72;"Loretta Lynch to trans people: "no matter how isolated or scared you may feel...we see you; we stand with you" http://www. indyweek.com/news/archives/ 2016/05/09/read-us-attorney-general-loretta-lynchs-remarks-on-dojs-lawsuit-against-north-carolina #HB2";;;#HB2;"729801583110828033";https://twitter.com/dejbanlaw/status/729801583110828033
HB2; lynch;UltraViolet;2016-05-09 18:14;104;93;"Loretta Lynch : We see you, we stand with you, and we will do everything we can to protect you. #hb2 pic.twitter.com/TZfLdRy1LB";;;#hb2;"729796791508475904";https://twitter.com/UltraViolet/status/729796791508475904
HB2; lynch;JeffJacksonNC;2016-05-09 18:12;25;44;"Attorney General Lynch denounces #HB2 https://www. youtube.com/watch?v=wPNZ2h v1Tf8&feature=share ";;;#HB2;"729796127273324544";https://twitter.com/JeffJacksonNC/status/729796127273324544
HB2; lynch;RaquelWillis_;2016-05-09 17:42;29;84;"We need more folks like Loretta Lynch in office. http:// fb.me/YDRKAzlt";;;;"729788715443224578";https://twitter.com/RaquelWillis_/status/729788715443224578
HB2; lynch;thekellymantle;2016-05-09 17:07;146;204;"Loretta Lynch just slayed that speech! It was not long ago that states, including NC, had other signs above restrooms,water fountains." #HB2";;;#HB2;"729779752811143168";https://twitter.com/thekellymantle/status/729779752811143168
HB2; lynch;smalljones;2016-05-09 16:54;38;52;""Let me speak now to the people of the great state, the beautiful state, my state of #NC Loretta Lynch on #HB2 http:// time.com/4323672/bathro om-bill-north-carolina-justice-department-loretta-lynch-remarks/ ";;;#NC #HB2;"729776595733516288";https://twitter.com/smalljones/status/729776595733516288
HB2; lynch;WeNeedHillary;2016-05-09 16:54;66;85;"Rmrks by US Attny General Loretta Lynch , Civil Rights Div Leader Vanita Gupta on HB2 Lawsuit http:// bit.ly/1QWKxHE pic.twitter.com/s7pxz71foF";;;;"729776549642293250";https://twitter.com/WeNeedHillary/status/729776549642293250
HB2; lynch;indyweek;2016-05-09 16:47;51;47;"Read Remarks by U.S. Attorney General Loretta Lynch , Civil Rights Division Leader Vanita Gupta on #HB2 Lawsuit http:// buff.ly/1T719nU";;;#HB2;"729774752643043329";https://twitter.com/indyweek/status/729774752643043329
HB2; lynch;existentialfish;2016-05-09 16:42;79;47;"Loretta Lynch : HB2 is a solution for "a problem that does not exist" NC Gov McCrory yesterday admitted just that pic.twitter.com/IL00tzpdYK";;;;"729773595430400000";https://twitter.com/existentialfish/status/729773595430400000
HB2; lynch;JCoopPhoto;2016-05-09 16:40;22;72;"In a laundry mat in West Yellowstone, Montana and had to stand up and clap as I watch Loretta Lynch tee up & crush #HB2";;;#HB2;"729772934059823104";https://twitter.com/JCoopPhoto/status/729772934059823104
HB2; lynch;deray;2016-05-09 16:39;428;653;"Loretta Lynch to North Carolina Gov. @PatMcCroryNC re: #HB2 pic.twitter.com/oYHm01Tz5g";Baltimore, MD;@PatMcCroryNC;#HB2;"729772682544304130";https://twitter.com/deray/status/729772682544304130
HB2; lynch;LGBT_Activist;2016-05-09 16:37;43;87;"Awesome! The Obama Administration is fighting for trans rights! We live in exciting times! Loretta Lynch #HB2 https:// twitter.com/msnbc/status/7 29765604161294336 ";Kansas, USA;;#HB2;"729772228418494464";https://twitter.com/LGBT_Activist/status/729772228418494464
HB2; lynch;dailykos;2016-05-09 16:34;45;46;"Justice Department sues North Carolina to block HB2 , Lynch calls it 'state-sponsored discrimination' http://www. dailykos.com/story/2016/05/ 09/1524805/-Justice-Department-sues-North-Carolina-to-block-HB2-Lynch-calls-it-state-sponsored-discrimination ";;;;"729771648375730178";https://twitter.com/dailykos/status/729771648375730178
HB2; lynch;freedom2marry;2016-05-09 16:32;23;35;"If you watch just one thing today, watch AG Loretta Lynch 's powerful stand for transgender civil rights: http://www. c-span.org/video/?409316- 1/attorney-general-loretta-lynch-respond-north-carolinas-hb-2-lawsuit&vod #HB2 #LGBT";;;#HB2 #LGBT;"729771161966497793";https://twitter.com/freedom2marry/status/729771161966497793
