sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HASTAC16;MyOwnVelouria;2016-05-19 14:10;1;4;"Great to spend time with #hastac16 folks last week. Hope to see you soon @a_game @HamletHologram @NazcaTheMad @krisfallon @fiona_barnett &co";;@a_game @HamletHologram @NazcaTheMad @krisfallon @fiona_barnett;#hastac16;"733359200923869185";https://twitter.com/MyOwnVelouria/status/733359200923869185
HASTAC16;MyOwnVelouria;2016-05-19 14:09;1;2;"Learning about @profwernimont 's research on race, sterilization, and haptics was a highlight of #hastac16 for me. https:// storify.com/jwernimo/eugen ic-rubicon-hastac-2016 ";;@profwernimont;#hastac16;"733358822434050048";https://twitter.com/MyOwnVelouria/status/733358822434050048
HASTAC16;clboyles;2016-05-18 22:17;0;1;". @purplekimchi Have you seen this yet? It reminds me of your presentation at #hastac16 http://www. bustle.com/articles/16156 5-myflow-bluetooth-tampon-alerts-you-when-you-need-a-new-one-and-its-got-both-pros?utm_source=facebook&utm_medium=owned&utm_campaign=feminismbustle ";;@purplekimchi;#hastac16;"733119475491295232";https://twitter.com/clboyles/status/733119475491295232
HASTAC16;LujanShannon;2016-05-18 21:03;0;0;"Check out all the great pix from @BruceMatsunaga #HASTAC16 https:// twitter.com/brucematsunaga /status/732942842453065728 ";;@BruceMatsunaga;#HASTAC16;"733100821756272640";https://twitter.com/LujanShannon/status/733100821756272640
HASTAC16;moengel;2016-05-18 16:42;0;2;"@GitHubEducation Wow! Thanks! And thanks to @NazcaTheMad for letting me use that bloody mary! #hastac16 #FlatOctocat";;@GitHubEducation @NazcaTheMad;#hastac16 #FlatOctocat;"733034954645331970";https://twitter.com/moengel/status/733034954645331970
HASTAC16;GitHubEducation;2016-05-18 16:29;3;10;"The winner of the @GitHubEducation #FlatOctocat contest at #HASTAC16 : @moengel for http:// buff.ly/1TVZ37h pic.twitter.com/TS1P3uXsHD";;@GitHubEducation @moengel;#FlatOctocat #HASTAC16;"733031672833265665";https://twitter.com/GitHubEducation/status/733031672833265665
HASTAC16;profwernimont;2016-05-18 16:18;3;1;"#hastac16 and @HASTACscholars - help me build a living network piece. Send me something and I'll weave you in... https:// jwernimont.wordpress.com/2016/03/04/hel p-create-a-living-network-piece/ ";;@HASTACscholars;#hastac16;"733028964227153920";https://twitter.com/profwernimont/status/733028964227153920
HASTAC16;BruceMatsunaga;2016-05-18 11:54;0;1;"@WillOremus @argella @kallewesterling It was great to meet you too! Thanks for participating in #HASTAC16 !";Tempe, AZ;@WillOremus @argella @kallewesterling;#HASTAC16;"732962451197546496";https://twitter.com/BruceMatsunaga/status/732962451197546496
HASTAC16;BruceMatsunaga;2016-05-18 10:36;4;9;"Fresh uploads to my #HASTAC16 photo album: scenes from Wednesday and Thursday. https:// flic.kr/s/aHskzHvRbT pic.twitter.com/ZRWldhPtBg";Tempe, AZ;;#HASTAC16;"732942842453065728";https://twitter.com/BruceMatsunaga/status/732942842453065728
HASTAC16;walshbr;2016-05-18 10:00;6;5;"ICYMI: my latest on my talk at #hastac16 - Woolf, machine learning, and algorithms as theories unto themselves. http:// scholarslab.org/digital-humani ties/reading-speech-virginia-woolf-machine-learning-and-the-quotation-mark/ ";;;#hastac16;"732933851538849794";https://twitter.com/walshbr/status/732933851538849794
HASTAC16;AHHEresearch;2016-05-18 04:10;0;0;"Shortly after the transformatory #hastac16 The Possible Worlds of Digital Humanities #HASTAC17 https:// twitter.com/dhumanities_rr /status/732844022776090625 ";;;#hastac16 #HASTAC17;"732845810585636868";https://twitter.com/AHHEresearch/status/732845810585636868
HASTAC16;gibbs_x;2016-05-18 01:06;0;0;"#hastac16 https:// twitter.com/handsupunited_ /status/732427551151267840 ";;;#hastac16;"732799611451084800";https://twitter.com/gibbs_x/status/732799611451084800
HASTAC16;motolibrarian;2016-05-17 18:42;1;3;"Wonderful article on the #hastac16 conference, with a great reference to our #makersbymail work. Thanks @comoloveo ! https:// twitter.com/comoloveo/stat us/732358394124734464 ";;@comoloveo;#hastac16 #makersbymail;"732702847301640196";https://twitter.com/motolibrarian/status/732702847301640196
HASTAC16;lisaironcutter;2016-05-17 17:44;0;1;"More love for @DH_Box at the #digitalgc following #hastac16";;@DH_Box;#digitalgc #hastac16;"732688327468539909";https://twitter.com/lisaironcutter/status/732688327468539909
HASTAC16;kallewesterling;2016-05-17 17:26;0;0;"@lisaironcutter Ugh. Yeah, again. #hastac16 all over again.";;@lisaironcutter;#hastac16;"732683680557215745";https://twitter.com/kallewesterling/status/732683680557215745
HASTAC16;IHRNexusLab;2016-05-17 16:16;6;6;"And if you missed #hastac16 , there are lots of conference & session recaps available on the @HASTAC site, here: https://www. hastac.org/groups/hastac- 2016-conference-group ";;@HASTAC;#hastac16;"732666010629640192";https://twitter.com/IHRNexusLab/status/732666010629640192
HASTAC16;IHRNexusLab;2016-05-17 16:15;0;2;"We had a great time hosting #hastac16 last week. Take a look @@BruceMatsunaga 's beautiful photographs of the event: https://www. flickr.com/photos/brucema tsunaga/sets/72157668030331091/ ";;@ @BruceMatsunaga;#hastac16;"732665788734181376";https://twitter.com/IHRNexusLab/status/732665788734181376
HASTAC16;hastac2016;2016-05-17 15:13;1;0;"Hey #hastac16 : can anyone help @andrea395 out? @HASTACscholars ? https:// twitter.com/andrea395/stat us/732636592750256128 ";;@andrea395 @HASTACscholars;#hastac16;"732650153773924352";https://twitter.com/hastac2016/status/732650153773924352
HASTAC16;andrea395;2016-05-17 14:19;0;0;"HASTAC-ers: I'm looking for the bit.ly link for the Friday session on Digital Pedagogy and the Future of Higher Education #hastac16";;;#hastac16;"732636592750256128";https://twitter.com/andrea395/status/732636592750256128
HASTAC16;JenProf;2016-05-17 11:32;0;0;"Thank you, Linda Milne @tllynda . Was also following #HASTAC16 somewhat aghast re how grad students @cc benefit ccs https:// twitter.com/tllynda/status /732572100037238784 ";;@tllynda @cc;#HASTAC16;"732594551181979648";https://twitter.com/JenProf/status/732594551181979648
HASTAC16;walshbr;2016-05-17 11:09;5;3;"Posted expanded version of my #hastac16 talk. Now with romantic comedies to explain machine learning! https:// twitter.com/scholarslab/st atus/732587387251916801 ";;;#hastac16;"732588912758128640";https://twitter.com/walshbr/status/732588912758128640
HASTAC16;comoloveo;2016-05-16 19:53;1;5;"I just published HASTAC 2016 #hastac16 https:// medium.com/@a2ru/hastac-2 016-2b1620989f3#.u8bymoqw0 ";;@a2ru;#hastac16 #;"732358394124734464";https://twitter.com/comoloveo/status/732358394124734464
HASTAC16;comoloveo;2016-05-16 19:52;0;2;"Blog post of #HASTAC16 - a2ru http:// a2ru.org/hastac-2016/";;;#HASTAC16;"732358212372992000";https://twitter.com/comoloveo/status/732358212372992000
HASTAC16;fiona_barnett;2016-05-16 14:36;0;1;"So impressive. It's like the best of maker world + Etsy DIY design. Love. #HASTAC16 https:// twitter.com/profwernimont/ status/731558865020444672 ";;;#HASTAC16;"732278592621662210";https://twitter.com/fiona_barnett/status/732278592621662210
HASTAC16;fiona_barnett;2016-05-16 14:32;0;1;"Feminist Technology for Feminists #HASTAC16 https:// twitter.com/NazcaTheMad/st atus/731571628975390720 ";;;#HASTAC16;"732277590493437952";https://twitter.com/fiona_barnett/status/732277590493437952
HASTAC16;naraelle;2016-05-16 12:04;2;2;"Agreed! #hastac16 https:// twitter.com/laurabrarian/s tatus/731223320465571840 ";;;#hastac16;"732240293785804800";https://twitter.com/naraelle/status/732240293785804800
HASTAC16;erinroseglass;2016-05-16 11:05;0;3;"from #hastac16 to #dscw16 followed by #sddh with a quick #ucsdIT poster session in between -- a breathless ten days";;;#hastac16 #dscw16 #sddh #ucsdIT;"732225459262382081";https://twitter.com/erinroseglass/status/732225459262382081
HASTAC16;FuturesED;2016-05-16 09:10;2;3;"Check out the #hastac16 group on @HASTAC for conference presentations, recaps, photos, & more! https://www. hastac.org/groups/hastac- 2016-conference-group (Post your own, too)";;@HASTAC;#hastac16;"732196421475127296";https://twitter.com/FuturesED/status/732196421475127296
HASTAC16;katy_jordan;2016-05-16 06:18;0;0;"Couldn't make it to #hastac16 but hoping to catch up with the papers soon https:// hastac2016.sched.org /";;;#hastac16;"732153365317206016";https://twitter.com/katy_jordan/status/732153365317206016
HASTAC16;BruceMatsunaga;2016-05-16 02:32;0;2;"Added a few more pictures to my #HASTAC16 album. #thanksFionaB https:// flic.kr/s/aHskzHvRbT pic.twitter.com/so7PAmC2od";Tempe, AZ;;#HASTAC16 #thanksFionaB;"732096434896441344";https://twitter.com/BruceMatsunaga/status/732096434896441344
HASTAC16;mrjustinvaught;2016-05-15 23:19;0;3;"@BruceMatsunaga @catspyjamasnz @JoyceLocke @LizaPotts txt from #4c16 chair add (no vid yet) http:// joycelockecarter.com/CCCC/mdi/ Thx for #hastac16 links!";;@BruceMatsunaga @catspyjamasnz @JoyceLocke @LizaPotts;#4c16 #hastac16;"732047699072049153";https://twitter.com/mrjustinvaught/status/732047699072049153
HASTAC16;RachelSchnepper;2016-05-15 20:39;0;1;"@pankisseskafka at #hastac16 @CathyNDavidson remarked how semesters were arbitrary & impede learning. I agree, & expand to aca calendar";;@pankisseskafka @CathyNDavidson;#hastac16;"732007639068999680";https://twitter.com/RachelSchnepper/status/732007639068999680
