sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hb2;SteveReedAP;2016-05-06 18:46;34;18;"There is another FAKE story out there that Michael Jordan will move Hornets over HB2 law. Don't believe. Another stupid prank.";;;;"728717657189580801";https://twitter.com/SteveReedAP/status/728717657189580801
hb2;GKButterfield;2016-05-06 18:03;9;17;"Proud to join @RepDavidEPrice & @RepAdams in calling for repeal of the discriminatory #HB2 , following DOJs ruling. http:// 1.usa.gov/1Tw4wir";;@RepDavidEPrice @RepAdams;#HB2;"728706864335208448";https://twitter.com/GKButterfield/status/728706864335208448
hb2;Montel_Williams;2016-05-06 17:53;13;30;"Somehow @NCHouseSpeaker @SenatorBerger @PatMcCroryNC managed to pass #hb2 in 12 hours. Call for patience ironic. https:// twitter.com/zackford/statu s/728635272288718848 ";;@NCHouseSpeaker @SenatorBerger @PatMcCroryNC;#hb2;"728704337334001664";https://twitter.com/Montel_Williams/status/728704337334001664
hb2;Change;2016-05-06 17:30;36;41;"Lara is a transgender woman in NC calling on the state legislature and Gov. @PatMcCroryNC to repeal #HB2 : http:// bit.ly/1WdEUwI";;@PatMcCroryNC;#HB2;"728698363894341633";https://twitter.com/Change/status/728698363894341633
hb2;JeffJacksonNC;2016-05-06 17:15;40;34;"Now the Dept. of Transportation and Housing and Urban Development are looking at cutting off funding bc of #HB2 . http://www. charlotteobserver.com/news/local/art icle76033022.html ";;;#HB2;"728694607257559040";https://twitter.com/JeffJacksonNC/status/728694607257559040
hb2;HRC;2016-05-06 16:48;74;114;". @HRC and @EqualityNC urge @UNC leadership to reject HB2 and comply with federal civil rights law #RepealHB2 http://www. hrc.org/blog/hrc-urges -unc-leadership-to-comply-with-federal-civil-rights-law ";;@HRC @EqualityNC @UNC;#RepealHB2;"728687931632848896";https://twitter.com/HRC/status/728687931632848896
hb2;lgbtunitedcom;2016-05-06 16:46;22;16;"NC given five days by Justice Dept to scrap HB2 or lose billions of federal dollars https:// goo.gl/JfR6Ob pic.twitter.com/sgpiqlK2Zy";;;;"728687302814277632";https://twitter.com/lgbtunitedcom/status/728687302814277632
hb2;dailykos;2016-05-06 16:12;11;11;"LGBT groups call on North Carolina colleges to stop enforcing the discriminatory HB2 law http://www. dailykos.com/story/2016/05/ 06/1523914/-LGBT-groups-call-on-North-Carolina-colleges-to-stop-enforcing-the-discriminatory-HB2-law ";;;;"728678930937425920";https://twitter.com/dailykos/status/728678930937425920
hb2;TwoKidsAndAKite;2016-05-06 16:03;12;190;"Why wont @PatMcCroryNC protect me an my kids from my pretend fear of zombies in restrooms? Why is ur fake fear more important? #HB2 #LGBT";;@PatMcCroryNC;#HB2 #LGBT;"728676651442290688";https://twitter.com/TwoKidsAndAKite/status/728676651442290688
hb2;nprmusic;2016-05-06 15:59;44;66;"In North Carolina, @DMoses41 on how musicians are facing off against #HB2 . http:// n.pr/24CerdO pic.twitter.com/spsnzTLwqj";;@DMoses41;#HB2;"728675499468271617";https://twitter.com/nprmusic/status/728675499468271617
hb2;ChadHGriffin;2016-05-06 15:36;12;23;"With billions at risk, UNC's @MargaretEdu & North Carolina colleges should stand up for all students and reject #HB2 http://www. hrc.org/blog/hrc-urges -unc-leadership-to-comply-with-federal-civil-rights-law ";;@MargaretEdu;#HB2;"728669842404978695";https://twitter.com/ChadHGriffin/status/728669842404978695
