sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SCOTUS;marstu67;2016-06-19 19:17;41;80;"More Good News For Democrats: Justice Clarence Thomas Eyes Post-Election Retirement http://www. politicususa.com/2016/06/19/goo d-news-democrats-justice-clarence-thomas-eyes-post-election-retirement.html Vote,Keep tiny hands off SCOTUS";;;;"744670395962253313";https://twitter.com/marstu67/status/744670395962253313
SCOTUS;JusticeWillett;2016-06-19 15:18;49;29;"BuzzJustice Thomas may be next to leave. UpshotThe next POTUS will set #SCOTUS trajectory for a generation. http:// washex.am/1UIwFTX";;;#SCOTUS;"744610214217809921";https://twitter.com/JusticeWillett/status/744610214217809921
SCOTUS;MicMej231997;2016-06-19 14:22;12;24;"I will cry tears of joy and excitement when Clarence Thomas finally leaves the Supreme Court! #SCOTUS #FeelTheBern http:// washex.am/1UEpgsR";;;#SCOTUS #FeelTheBern;"744596249555283969";https://twitter.com/MicMej231997/status/744596249555283969
SCOTUS;jamieleecurtis;2016-06-19 14:04;206;633;"Thinking of all the grieving fathers today whose children were taken from gun violence. @Scotus @HillaryClinton @HRC #assaulteeaponsbannow";;@Scotus @HillaryClinton @HRC;#assaulteeaponsbannow;"744591780511780864";https://twitter.com/jamieleecurtis/status/744591780511780864
SCOTUS;PPact;2016-06-19 12:23;172;259;"Here's what you need to know about the biggest abortion rights #SCOTUS case in decades: http:// ppact.io/1tnZaQm pic.twitter.com/WYDR81XqRW";;;#SCOTUS;"744566175003119616";https://twitter.com/PPact/status/744566175003119616
SCOTUS;CletisStump;2016-06-18 10:50;37;69;"No one with a functioning brain cell would want any Republican in the WH. SCOTUS is at stake here. I love Bernie but will vote for Hillary.";;;;"744180578715598848";https://twitter.com/CletisStump/status/744180578715598848
SCOTUS;JusticeWillett;2016-06-17 21:37;43;180;"Lawyer Dog's #SCOTUS confirmation hearing will get . . . ruff. pic.twitter.com/IWALqwKlMn";;;#SCOTUS;"743980809514680320";https://twitter.com/JusticeWillett/status/743980809514680320
SCOTUS;MikeBates;2016-06-17 19:35;65;87;"OK, so Trump caved in on the 2nd Amendment. But you can still trust him on SCOTUS appointments. Feeling foolish yet, Trumpkins? #NeverTrump";;;#NeverTrump;"743950165904498689";https://twitter.com/MikeBates/status/743950165904498689
SCOTUS;AmericanAtheist;2016-06-17 13:04;106;200;"Today is the 53rd anniversary of Abington v. Schempp, the SCOTUS decision that struck down mandatory Bible reading in public schools.";;;;"743851747475660800";https://twitter.com/AmericanAtheist/status/743851747475660800
SCOTUS;andieiamwhoiam;2016-06-17 10:23;108;120;"Anyone who opposes Trump as the nominee invites Hillary and a progressive SCOTUS , who will SHRED the 2nd amendment. WHAT are you doing?";;;;"743811419167137792";https://twitter.com/andieiamwhoiam/status/743811419167137792
SCOTUS;seanmdav;2016-06-17 09:25;11;15;"@jimduyck @JGreenDC @StephenGutowski @CBSNews Incorrect. Can't buy for anyone else. There's a 2014 SCOTUS case on that precise point.";;@jimduyck @JGreenDC @StephenGutowski @CBSNews;;"743796728143437824";https://twitter.com/seanmdav/status/743796728143437824
SCOTUS;samsteinhp;2016-06-16 14:01;313;329;"Congressional Republicans are (!) refusing to answer Trump questions, (2) bemoaning his immaturity, and (3) holding a SCOTUS seat for him.";;;;"743503807737380864";https://twitter.com/samsteinhp/status/743503807737380864
SCOTUS;ReproRights;2016-06-16 10:12;95;73;"No decision in @WholeWomans v. Hellerstedt today. We'll be back on SCOTUS watch on Monday! #StopTheSham pic.twitter.com/x6iFqTUh9q";;@WholeWomans;#StopTheSham;"743446174393335808";https://twitter.com/ReproRights/status/743446174393335808
SCOTUS;drhug;2016-06-15 17:46;66;72;"Republicans are denying a Debate and a Vote on both guns and a #SCOTUS replacement. Why are they even in government? Vote em out #filibuster";;;#SCOTUS #filibuster;"743197925505802241";https://twitter.com/drhug/status/743197925505802241
SCOTUS;NinaTotenberg;2016-06-15 14:53;66;149;"For 18 yrs #SCOTUS nominee Garland has tutored kids like this one at J.O. Wilson Elementary in DC. Listen on ATC pic.twitter.com/STgswznUEc";;;#SCOTUS;"743154394179473408";https://twitter.com/NinaTotenberg/status/743154394179473408
SCOTUS;lachlan;2016-06-15 10:01;48;40;"Don't worry, I'm sure his SCOTUS pick would be thoroughly pro-Heller https:// twitter.com/realdonaldtrum p/status/743078235408195584 ";;;;"743081104840794112";https://twitter.com/lachlan/status/743081104840794112
SCOTUS;mattyglesias;2016-06-14 17:59;102;116;"Will not comment on the presidential candidate. Will hold dozens of judgeships -- including SCOTUS -- open for him. https:// twitter.com/reuterszengerl e/status/742782937523834880 ";Washington, DC;;;"742839007973941248";https://twitter.com/mattyglesias/status/742839007973941248
SCOTUS;AG_Conservative;2016-06-14 17:57;56;117;"If some of these Trump backers actually cared about SCOTUS , they wouldn't want to keep a nominee that will clearly lose to Hillary.";;;;"742838469244952582";https://twitter.com/AG_Conservative/status/742838469244952582
SCOTUS;WJCLibrary;2016-06-14 14:00;41;113;"#OTD in 1993, President Clinton announced his nomination of Ruth Bader Ginsburg to be Associate Justice of #SCOTUS pic.twitter.com/dvNgo2vapJ";;;#OTD #SCOTUS;"742778773330923520";https://twitter.com/WJCLibrary/status/742778773330923520
SCOTUS;jamesbranch3;2016-06-11 20:31;0;0;"Only one thing is guaranteed: Hillary's SCOTUS nominees will be damnable. https:// twitter.com/PolitiBunny/st atus/741785503066955778 ";;;;"741789924144386048";https://twitter.com/jamesbranch3/status/741789924144386048
SCOTUS;TamiStainfield;2016-06-11 20:10;0;0;"#scalia #ginsburg #scotus what if a PERSON gores into Whitehouse for USA Constitution and no need of any STAFF #congress";Charleston, WV;;#scalia #ginsburg #scotus #congress;"741784807655366656";https://twitter.com/TamiStainfield/status/741784807655366656
SCOTUS;ntfth_truthpage;2016-06-11 20:10;0;0;"If @realDonaldTrump wins in Nov, this maniac could be the next SCOTUS justice. http://www. rawstory.com/2016/05/trump- scotus-pick-william-pryor-would-have-let-states-jail-lgbt-people-for-having-sex-in-their-homes/ ";;@realDonaldTrump;;"741784780489039872";https://twitter.com/ntfth_truthpage/status/741784780489039872
SCOTUS;natlawreview;2016-06-11 20:10;0;0;"Unclaimed Property Hunger Games: States Seek Supreme Court Review in Official Check Dispute http:// ow.ly/WQfU3019M6E #SCOTUS";;;#SCOTUS;"741784622187597824";https://twitter.com/natlawreview/status/741784622187597824
SCOTUS;KayHair1;2016-06-11 20:09;0;1;"Problem w/that is SCOTUS and Refugees. We'll be overcome w/PC, illeglas, & combatant Muslims. May not have 4 yrs. https:// twitter.com/Daggy1/status/ 741654597249302529 ";;;;"741784521373192192";https://twitter.com/KayHair1/status/741784521373192192
SCOTUS;theo9873502;2016-06-11 20:09;0;0;"@BillKristol @TheRickWilson @POLITICOMag Hillary picking SCOTUS ...now that's a disaster";;@BillKristol @TheRickWilson @POLITICOMag;;"741784429983588352";https://twitter.com/theo9873502/status/741784429983588352
SCOTUS;FishFunSun;2016-06-11 20:05;0;2;"@CarmineZozzora @RonSantoFan @GOP They are truly uneducated voters. Claim to be prolife but would risk Hillary lib SCOTUS";;@CarmineZozzora @RonSantoFan @GOP;;"741783499938533376";https://twitter.com/FishFunSun/status/741783499938533376
SCOTUS;kkalmes2;2016-06-11 20:05;0;0;"Ethics 101: Same Person Cannot Serve as Prosecutor and Judge in the Same Case. SCOTUS Needs to Say So @brennancenter http://www. brennancenter.org/analysis/ethic s-101-same-person-cannot-serve-prosecutor-and-judge-same-case-supreme-court-needs-say#.V1ynFh4QueQ.twitter ";;@brennancenter;#;"741783340760502273";https://twitter.com/kkalmes2/status/741783340760502273
SCOTUS;Jesse_sDad;2016-06-11 20:03;0;0;"Today's #WTF Moment: #SCOTUS to "Decide" right to pray in #Jesus 's Name case http:// po.st/JWQZgL";;;#WTF #SCOTUS #Jesus;"741782825918029824";https://twitter.com/Jesse_sDad/status/741782825918029824
SCOTUS;Plmyers;2016-06-11 20:02;0;0;"#SCOTUS Judge Agreed With Trump About Hispanic Judge 15 Years Ago ~Media SILENT http:// conservativetribune.com/scotus-judge-a greed-trump/?utm_source=Twitter&utm_medium=PostTopSharingButtons&utm_content=2016-06-11&utm_campaign=websitesharingbuttons #TrumpTrain #MAGA";;;#SCOTUS #TrumpTrain #MAGA;"741782814731972608";https://twitter.com/Plmyers/status/741782814731972608
SCOTUS;kleegrubaugh;2016-06-11 20:01;3;5;"If you want so "save" SCOTUS , Trump needs to earn our vote. First step, release tax returns. Fear won't work. https:// twitter.com/reince/status/ 741434171038408704 ";;;;"741782483864162304";https://twitter.com/kleegrubaugh/status/741782483864162304
SCOTUS;lauracgilleslil;2016-06-11 20:00;0;0;"The same DOJ that ignores @Scotus rulings on @EPA water regs? Same one that lies to Judge Hanen? Means zilch https:// twitter.com/dcexaminer/sta tus/741778045699280896 ";;@Scotus @EPA;;"741782207392550913";https://twitter.com/lauracgilleslil/status/741782207392550913
SCOTUS;BrennanCenter;2016-06-11 20:00;6;5;"#ICYMI Earlier this year, fellow Dorothy Samuels wrote #SCOTUS needs to step in on Williams v. Penn. http:// trib.al/11WXiXN";;;#ICYMI #SCOTUS;"741782150144503808";https://twitter.com/BrennanCenter/status/741782150144503808
SCOTUS;dobbinlo;2016-06-11 20:00;0;0;"SCOTUS to Review Cases on Race, Disability, and the Death Penalty https:// shar.es/1JGLwH via @FindLawLP";;@FindLawLP;;"741782138693947392";https://twitter.com/dobbinlo/status/741782138693947392
