sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
#girlswhocode;rubithhh;2016-04-20 17:53;0;24;"so proud of my insanely smart&beautiful bff for getting into a crazy selective summer program. wuv you @elliecohen_19 #girlswhocode";;@elliecohen_19;#girlswhocode;"722906013729296386";https://twitter.com/rubithhh/status/722906013729296386
#girlswhocode;partychronicles;2016-04-20 16:57;0;5;"What is the profile of an #IoT developer? https://www. linkedin.com/pulse/what-pro file-iot-developer-sudha-jamthe #girlswhocode #womenintech #belaerecatadaedolar https:// twitter.com/sujamthe/statu s/722559795450896384 ";;;#IoT #girlswhocode #womenintech #belaerecatadaedolar;"722892070822633473";https://twitter.com/partychronicles/status/722892070822633473
#girlswhocode;dsytman;2016-04-20 12:57;4;6;"Learn more about Aishwarya, next at #WeDay #Seattle : http:// bit.ly/1rkucbs #YouthSpark #GirlsWhoCode pic.twitter.com/LG8Fmm3QEw";Seattle, WA;;#WeDay #Seattle #YouthSpark #GirlsWhoCode;"722831443911516162";https://twitter.com/dsytman/status/722831443911516162
#girlswhocode;CCooper007;2016-04-20 11:25;3;0;"Learning to code means I can now find amusement in a whole new repository of humour #girlswhocode #seewhatididthere pic.twitter.com/4FxKSF5Aon";;;#girlswhocode #seewhatididthere;"722808336786141185";https://twitter.com/CCooper007/status/722808336786141185
#girlswhocode;carrilloreluz;2016-04-19 23:55;1;3;"So proud of @appgirlsperu they already submitted their application for @technovation #gogirls #girlswhocode @technovationPE";;@appgirlsperu @technovation @technovationPE;#gogirls #girlswhocode;"722634763341864960";https://twitter.com/carrilloreluz/status/722634763341864960
#girlswhocode;Maria_InMotion;2016-04-19 22:38;6;7;"Another informative #GirlDevelopIt night at #InMotionHosting headquarters. #womenintech #TechTuesday #girlswhocode pic.twitter.com/azYvGm3TyW";;;#GirlDevelopIt #InMotionHosting #womenintech #TechTuesday #girlswhocode;"722615488568643584";https://twitter.com/Maria_InMotion/status/722615488568643584
#girlswhocode;CherylAngel4;2016-04-19 17:18;1;2;"Using HTML to create websites @DMSIrish #GirlsWhoCode pic.twitter.com/964vI2BaML";;@DMSIrish;#GirlsWhoCode;"722534926944440320";https://twitter.com/CherylAngel4/status/722534926944440320
#girlswhocode;danyashea;2016-04-19 15:58;1;4;"Retweet: Remember, #girlswhocode become #womenintech . Join us for the new Orlando @GirlsWhoCode summer camps http:// weVENTURE.org/gwc16 #OTW16";;@GirlsWhoCode;#girlswhocode #womenintech #OTW16;"722514655109775360";https://twitter.com/danyashea/status/722514655109775360
#girlswhocode;beITresourcing;2016-04-19 15:50;1;1;"Claire, the Be-IT @CodeClanScot scholarship student, with her video blog how the training is going. http:// buff.ly/20UIco5 #girlswhocode";;@CodeClanScot;#girlswhocode;"722512658210111488";https://twitter.com/beITresourcing/status/722512658210111488
#girlswhocode;NeoReach;2016-04-19 15:44;0;3;"Great talk about how to get more diversity in tech and to make Orlando the best tech culture! #otw16 #girlswhocode pic.twitter.com/FYJs6ndfBy";;;#otw16 #girlswhocode;"722511224672493568";https://twitter.com/NeoReach/status/722511224672493568
#girlswhocode;weVENTUREorl;2016-04-19 15:32;1;8;"How do we help young women navigate careers in #tech ? @CassandraWilcox #girlswhocode become #womenintech #OTW16 pic.twitter.com/Maq6QbvxEJ";;@CassandraWilcox;#tech #girlswhocode #womenintech #OTW16;"722508157457731585";https://twitter.com/weVENTUREorl/status/722508157457731585
#girlswhocode;WonderWorkshop;2016-04-19 13:15;0;1;"@CCCC_9999 @wkirkwood LOVE this picture and love seeing Ss working together to problem solve! #girlswhocode #edtech";;@CCCC_9999 @wkirkwood;#girlswhocode #edtech;"722473722217656324";https://twitter.com/WonderWorkshop/status/722473722217656324
#girlswhocode;pkumako;2016-04-19 12:52;3;2;"Learning how to code on #HTLM with @saymar90 @whispabenin @TEKXLLLC #GirlsWhoCode #Benintech #Wtm229 #wasexo pic.twitter.com/AcpfDm4tfY";;@saymar90 @whispabenin @TEKXLLLC;#HTLM #GirlsWhoCode #Benintech #Wtm229 #wasexo;"722467969608085504";https://twitter.com/pkumako/status/722467969608085504
#girlswhocode;HelloClodagh;2016-04-19 11:54;4;7;"This evening at @intercom #Dublin Discussion : How to Tackle the Gender Gap in Tech. Really looking forward to this one! #GirlsWhoCode";Dublin City, Ireland;@intercom;#Dublin #GirlsWhoCode;"722453382942822400";https://twitter.com/HelloClodagh/status/722453382942822400
#girlswhocode;mluhtala;2016-04-19 08:30;2;2;"#coding workshop Note that it the class is composed only of girls. #girlswhocode #makerspace @NCHS_CT pic.twitter.com/xp7fOxklWh";;@NCHS_CT;#coding #girlswhocode #makerspace;"722401934859247616";https://twitter.com/mluhtala/status/722401934859247616
#girlswhocode;ALPFAPittsburgh;2016-04-19 07:01;0;2;"What's keeping women out of Silicon Valley and away from the Tech industry? #women #tech #girlswhocode #alpha http:// ow.ly/4mN00z";;;#women #tech #girlswhocode #alpha;"722379614845341696";https://twitter.com/ALPFAPittsburgh/status/722379614845341696
#girlswhocode;powerdripper;2016-04-19 04:12;0;5;"Absolutely blown away by @chriskerns views on data - the analysis of #GirlsWhoCode is amazing #SocialCRM16";;@chriskerns;#GirlsWhoCode #SocialCRM16;"722337123278450688";https://twitter.com/powerdripper/status/722337123278450688
#girlswhocode;GirlGeekBC;2016-04-19 03:30;2;1;"Get your head around code this May; https://www. eventbrite.co.uk/e/get-your-hea d-around-code-tickets-24622162551 #Girlswhocode";;;#Girlswhocode;"722326578752012288";https://twitter.com/GirlGeekBC/status/722326578752012288
#girlswhocode;martinezgeek;2016-04-19 00:40;8;10;"And then there's this... @StHildasYear4 exploring 2D shapes using @hopscotch #girlswhocode #ADEdu #ipaded #coding pic.twitter.com/zhvqgOz8Ao";;@StHildasYear4 @hopscotch;#girlswhocode #ADEdu #ipaded #coding;"722283765079220225";https://twitter.com/martinezgeek/status/722283765079220225
#girlswhocode;CollegeDuPage;2016-04-18 22:00;1;5;"Public coding classes on April 30 @CollegeDuPage #STEMCON #CODSTEM #collegeofdupage #kidswhocode #girlswhocode http:// bit.ly/1SFpa1u";;@CollegeDuPage;#STEMCON #CODSTEM #collegeofdupage #kidswhocode #girlswhocode;"722243325198110720";https://twitter.com/CollegeDuPage/status/722243325198110720
#girlswhocode;girlknowstech;2016-04-18 21:02;1;5;"Who are the #womenintech of Twitter? :) RT and I'll follow you! Let's get in touch! #girlswhocode #coding";;;#womenintech #girlswhocode #coding;"722228915473932290";https://twitter.com/girlknowstech/status/722228915473932290
#girlswhocode;TransformSTEM;2016-04-18 20:52;0;1;"We're screening the CODEGIRL film at Purdue Wed 7 pm. #girlsinSTEM #girlswhocode @TechPurdue http://www. transformSTEM.org pic.twitter.com/jZwXbrH9cI";;@TechPurdue;#girlsinSTEM #girlswhocode;"722226398748745728";https://twitter.com/TransformSTEM/status/722226398748745728
#girlswhocode;TransformSTEM;2016-04-18 20:46;0;1;"CODEGIRL documentary - by 2017, app market value ~ $77B; > 80% of these developers are male. #girlswhocode #STEM http://www. codegirlmovie.com";;;#girlswhocode #STEM;"722224826862030848";https://twitter.com/TransformSTEM/status/722224826862030848
#girlswhocode;martinezgeek;2016-04-18 20:18;6;14;"Doesn't take @StHildasYear4 long to get the hang of coding 2d shapes & angles with @hopscotch #adedu #girlswhocode pic.twitter.com/U7XJcPXflc";;@StHildasYear4 @hopscotch;#adedu #girlswhocode;"722217696855654401";https://twitter.com/martinezgeek/status/722217696855654401
#girlswhocode;martinezgeek;2016-04-18 20:11;1;5;"@StHildasYear4 their 1st ever #coding lessons with @hopscotch angles & 2d shapes to begin with #girlswhocode #adedu pic.twitter.com/TY9kfw87Wh";;@StHildasYear4 @hopscotch;#coding #girlswhocode #adedu;"722215957523902464";https://twitter.com/martinezgeek/status/722215957523902464sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalinksep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalinksep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
#girlswhocode;rubithhh;2016-04-20 17:53;0;24;"so proud of my insanely smart&beautiful bff for getting into a crazy selective summer program. wuv you @elliecohen_19 #girlswhocode";;@elliecohen_19;#girlswhocode;"722906013729296386";https://twitter.com/rubithhh/status/722906013729296386
#girlswhocode;partychronicles;2016-04-20 16:57;0;5;"What is the profile of an #IoT developer? https://www. linkedin.com/pulse/what-pro file-iot-developer-sudha-jamthe #girlswhocode #womenintech #belaerecatadaedolar https:// twitter.com/sujamthe/statu s/722559795450896384 ";;;#IoT #girlswhocode #womenintech #belaerecatadaedolar;"722892070822633473";https://twitter.com/partychronicles/status/722892070822633473
#girlswhocode;dsytman;2016-04-20 12:57;4;6;"Learn more about Aishwarya, next at #WeDay #Seattle : http:// bit.ly/1rkucbs #YouthSpark #GirlsWhoCode pic.twitter.com/LG8Fmm3QEw";Seattle, WA;;#WeDay #Seattle #YouthSpark #GirlsWhoCode;"722831443911516162";https://twitter.com/dsytman/status/722831443911516162
#girlswhocode;CCooper007;2016-04-20 11:25;3;0;"Learning to code means I can now find amusement in a whole new repository of humour #girlswhocode #seewhatididthere pic.twitter.com/4FxKSF5Aon";;;#girlswhocode #seewhatididthere;"722808336786141185";https://twitter.com/CCooper007/status/722808336786141185
#girlswhocode;carrilloreluz;2016-04-19 23:55;1;3;"So proud of @appgirlsperu they already submitted their application for @technovation #gogirls #girlswhocode @technovationPE";;@appgirlsperu @technovation @technovationPE;#gogirls #girlswhocode;"722634763341864960";https://twitter.com/carrilloreluz/status/722634763341864960
#girlswhocode;Maria_InMotion;2016-04-19 22:38;6;7;"Another informative #GirlDevelopIt night at #InMotionHosting headquarters. #womenintech #TechTuesday #girlswhocode pic.twitter.com/azYvGm3TyW";;;#GirlDevelopIt #InMotionHosting #womenintech #TechTuesday #girlswhocode;"722615488568643584";https://twitter.com/Maria_InMotion/status/722615488568643584
#girlswhocode;CherylAngel4;2016-04-19 17:18;1;2;"Using HTML to create websites @DMSIrish #GirlsWhoCode pic.twitter.com/964vI2BaML";;@DMSIrish;#GirlsWhoCode;"722534926944440320";https://twitter.com/CherylAngel4/status/722534926944440320
#girlswhocode;danyashea;2016-04-19 15:58;1;4;"Retweet: Remember, #girlswhocode become #womenintech . Join us for the new Orlando @GirlsWhoCode summer camps http:// weVENTURE.org/gwc16 #OTW16";;@GirlsWhoCode;#girlswhocode #womenintech #OTW16;"722514655109775360";https://twitter.com/danyashea/status/722514655109775360
#girlswhocode;beITresourcing;2016-04-19 15:50;1;1;"Claire, the Be-IT @CodeClanScot scholarship student, with her video blog how the training is going. http:// buff.ly/20UIco5 #girlswhocode";;@CodeClanScot;#girlswhocode;"722512658210111488";https://twitter.com/beITresourcing/status/722512658210111488
#girlswhocode;NeoReach;2016-04-19 15:44;0;3;"Great talk about how to get more diversity in tech and to make Orlando the best tech culture! #otw16 #girlswhocode pic.twitter.com/FYJs6ndfBy";;;#otw16 #girlswhocode;"722511224672493568";https://twitter.com/NeoReach/status/722511224672493568
